"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 16:11:56 BRT 2023","Tue Apr 25 16:12:08 BRT 2023","11336","Cadastro Função","Excluir","","","","Excluir Função",""
"passed","Tue Apr 25 16:22:31 BRT 2023","Tue Apr 25 16:22:42 BRT 2023","11316","Cadastro Pagamento e Recebimento","Excluir","","","","Excluir Pagamento e Recebimento",""
"passed","Tue Apr 25 16:51:53 BRT 2023","Tue Apr 25 16:52:05 BRT 2023","12238","Cadastro Doação de troco","Alterar","","","","Alterar Doação de troco",""
"passed","Tue Apr 25 16:05:28 BRT 2023","Tue Apr 25 16:05:40 BRT 2023","11936","Cadastro Coeficiente","Excluir","","","","Excluir Coeficiente",""
"passed","Tue Apr 25 16:29:55 BRT 2023","Tue Apr 25 16:30:07 BRT 2023","12266","Cadastro Widget","Alterar","","","","Alterar Widget",""
"passed","Tue Apr 25 16:29:39 BRT 2023","Tue Apr 25 16:29:54 BRT 2023","15498","Cadastro Widget","Cadastro","","","","Cadastrar Widget",""
"passed","Tue Apr 25 16:54:13 BRT 2023","Tue Apr 25 16:54:24 BRT 2023","11122","Cadastro Grupo de Opções","Excluir","","","","Excluir Grupo de Opções",""
"passed","Tue Apr 25 16:34:32 BRT 2023","Tue Apr 25 16:34:52 BRT 2023","20199","Cadastro Excecao impostos ISS","Alterar","","","","Alterar Excecao impostos ISS",""
"passed","Tue Apr 25 16:44:36 BRT 2023","Tue Apr 25 16:44:50 BRT 2023","13981","Cadastro Exceção PIS","Alterar","","","","Alterar Exceção PIS",""
"passed","Tue Apr 25 16:54:49 BRT 2023","Tue Apr 25 16:55:01 BRT 2023","11532","Cadastro Intermediador","Alterar","","","","Alterar Intermediador",""
"passed","Tue Apr 25 16:15:13 BRT 2023","Tue Apr 25 16:15:23 BRT 2023","10133","Cadastro Grupo de informações","Excluir","","","","Excluir Grupo de informações",""
"passed","Tue Apr 25 16:11:27 BRT 2023","Tue Apr 25 16:11:44 BRT 2023","17367","Cadastro Função","Cadastro","","","","Cadastrar Função",""
"passed","Tue Apr 25 16:08:05 BRT 2023","Tue Apr 25 16:08:11 BRT 2023","6241","Cadastro Departamento loja","Botão Produto","","","","Botão Produto",""
"passed","Tue Apr 25 16:46:12 BRT 2023","Tue Apr 25 16:46:24 BRT 2023","11864","Cadastro Algoritimos","Alterar","","","","Alterar Algoritimos",""
"passed","Tue Apr 25 16:21:30 BRT 2023","Tue Apr 25 16:21:43 BRT 2023","12138","Cadastro Grupos de notificações","Alterar","","","","Alterar Grupos de notificações",""
"passed","Tue Apr 25 16:29:04 BRT 2023","Tue Apr 25 16:29:16 BRT 2023","12209","Cadastro Veiculos","Alterar","","","","Alterar Veiculos",""
